cust_number,clear_date,due_in_date,total_open_amount,cust_payment_terms,Delay,Weekday,cust_number_mean,cust_pt_mean,due_m,create_m,Aging bucket
0200707005,2020-03-17,2020-03-17,48580.92,NAA8,0,0,0.4578313253012048,1.3544147208906758,3,3,0-15 days
0200743618,2020-04-14,2020-04-14,3004.4,NAA8,0,0,0.3333333333333333,1.3544147208906758,4,3,0-15 days
0200769623,2020-03-23,2020-03-23,45269.49,NAH4,0,6,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200762950,2020-05-07,2020-05-07,44366.4,NAA8,0,2,-0.16666666666666666,1.3544147208906758,5,4,0-15 days
0200707822,2020-05-20,2020-05-20,95749.28,NAA8,0,1,0.8558139534883721,1.3544147208906758,5,5,0-15 days
0140106408,2020-03-23,2020-03-23,188253.34,CA10,0,2,9.36624203821656,6.328484848484848,3,3,0-15 days
200705372,2020-04-15,2020-04-15,29529.87,NAA8,0,1,0.6666666666666666,1.3544147208906758,4,3,0-15 days
0200769623,2020-04-09,2020-04-09,54315.4,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0200772595,2020-04-07,2020-04-07,118081.69,NAA8,0,0,0.8494623655913979,1.3544147208906758,4,3,0-15 days
0140104240,2020-04-24,2020-04-24,59294.41,CA10,0,0,-1.0,6.328484848484848,4,4,0-15 days
200387798,2020-05-15,2020-05-15,3466.98,NABG,0,1,0.0,-3.0384615384615383,5,3,0-15 days
0200915438,2020-03-14,2020-03-14,7634.88,NAA8,0,4,2.2708333333333335,1.3544147208906758,3,2,0-15 days
0200592182,2020-04-08,2020-04-08,1134.43,NAM4,0,2,1.420071105365223,1.420071105365223,4,3,0-15 days
200769623,2020-05-20,2020-05-20,3660.95,NAH4,0,1,-2.2663817663817665,-1.7752659574468086,5,5,0-15 days
0200792734,2020-03-18,2020-03-18,68036.52,NAA8,0,1,3.3333333333333335,1.3544147208906758,3,3,0-15 days
0200706844,2020-05-13,2020-05-13,16517.15,NAA8,0,1,0.20973782771535582,1.3544147208906758,5,4,0-15 days
0200020431,2020-03-24,2020-03-24,2788.92,NAM4,0,5,4.0,1.420071105365223,3,3,0-15 days
0200726979,2020-04-11,2020-04-11,632.9,NAA8,0,4,0.9880952380952381,1.3544147208906758,4,3,0-15 days
0200744019,2020-03-17,2020-03-17,114405.37,NAA8,0,0,3.198996655518395,1.3544147208906758,3,3,0-15 days
0200769623,2020-05-15,2020-05-15,31199.19,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
0200705742,2020-04-01,2020-04-01,3923.92,NAD1,0,3,-7.0807692307692305,0.27672955974842767,4,3,0-15 days
0200761734,2020-04-23,2020-04-23,12429.9,NAA8,0,2,-2.7335907335907335,1.3544147208906758,4,4,0-15 days
0200769623,2020-05-09,2020-05-09,943.12,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
200772670,2020-04-04,2020-04-04,36292.5,NAU5,0,4,2.8461538461538463,2.1217532467532467,4,3,0-15 days
0100031704,2020-04-22,2020-04-22,98247.63,NAA8,0,1,0.9877049180327869,1.3544147208906758,4,4,0-15 days
0200769623,2020-04-28,2020-04-28,6156.84,NAH4,0,0,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200769623,2020-04-30,2020-04-30,1792.66,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200706844,2020-04-10,2020-04-10,96159.52,NAA8,0,3,0.20973782771535582,1.3544147208906758,4,3,0-15 days
0200769623,2020-04-08,2020-04-08,4272.86,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0140101904,2020-04-16,2020-04-16,29521.8,NAVE,0,1,-14.5,0.34234234234234234,4,3,0-15 days
0200803720,2020-04-24,2020-04-24,2791.74,NAM4,0,4,1.420071105365223,1.420071105365223,4,4,0-15 days
0140104225,2020-03-16,2020-03-16,479.61,CA10,0,3,-0.3157894736842105,6.328484848484848,3,3,0-15 days
0200790107,2020-04-21,2020-04-21,115593.33,NAC6,0,0,0.4,0.6570702794242168,4,4,0-15 days
0200707822,2020-05-02,2020-05-02,113851.7,NAA8,0,4,0.8558139534883721,1.3544147208906758,5,4,0-15 days
0200794332,2020-04-07,2020-04-07,40455.53,NAAX,0,0,-0.2018348623853211,0.07539682539682539,4,3,0-15 days
0200571849,2020-04-15,2020-04-15,3103.23,NAA8,0,1,1.9705882352941178,1.3544147208906758,4,3,0-15 days
0200747369,2020-04-07,2020-04-07,22530.89,NAA8,0,0,2.7666666666666666,1.3544147208906758,4,3,0-15 days
0200148860,2020-03-26,2020-03-26,17072.04,NAA8,0,2,-5.317073170731708,1.3544147208906758,3,3,0-15 days
0200759878,2020-05-10,2020-05-10,30804.05,NAH4,0,5,1.3376777251184835,-1.7752659574468086,5,4,0-15 days
200865666,2020-04-11,2020-04-11,17482.94,NAA8,0,4,0.5,1.3544147208906758,4,3,0-15 days
0200759082,2020-05-20,2020-05-20,28454.86,NAA8,0,1,1.4893617021276595,1.3544147208906758,5,5,0-15 days
0200769623,2020-05-06,2020-05-06,6426.5,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
0200794332,2020-04-11,2020-04-11,29046.97,NAAX,0,4,-0.2018348623853211,0.07539682539682539,4,3,0-15 days
0200707741,2020-04-05,2020-04-05,79754.22,NAA8,0,5,1.1470588235294117,1.3544147208906758,4,3,0-15 days
0200778870,2020-05-12,2020-05-12,5587.19,NAA8,0,0,5.894117647058824,1.3544147208906758,5,4,0-15 days
0200762950,2020-05-05,2020-05-05,67675.07,NAA8,0,0,-0.16666666666666666,1.3544147208906758,5,4,0-15 days
0200794332,2020-05-08,2020-05-08,18273.21,NAAX,0,3,-0.2018348623853211,0.07539682539682539,5,4,0-15 days
200704045,2020-05-21,2020-05-21,89899.14,NAA8,0,2,1.0,1.3544147208906758,5,5,0-15 days
0200705742,2020-06-09,2020-06-09,27835.39,NAAW,0,2,-7.0807692307692305,-15.473333333333333,6,5,0-15 days
200781803,2020-04-09,2020-04-09,2685.74,NAD1,0,4,0.14285714285714285,0.27672955974842767,4,3,0-15 days
0200769623,2020-03-21,2020-03-21,18621.02,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200769623,2020-05-23,2020-05-23,14158.68,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200416837,2020-05-09,2020-05-09,2326.18,NAM4,0,2,1.420071105365223,1.420071105365223,5,4,0-15 days
0200770677,2020-05-08,2020-05-08,84142.29,NAA8,0,3,-2.5625,1.3544147208906758,5,4,0-15 days
0200726979,2020-04-18,2020-04-18,81593.0,NAA8,0,4,0.9880952380952381,1.3544147208906758,4,4,0-15 days
0200769623,2020-05-13,2020-05-13,244.05,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
0200769623,2020-05-13,2020-05-13,1428.1,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
